# flightline, latitude_mean, longitude_mean, elevation_mean, latitude_stdev, longitude_stdev, elevation_stdev, cloud_fraction, ndvi_mean, ndvi_stdev, dimensionality
ang20190725t232343 68.91380310 -135.00433350 17.45836639 0.00647006 0.01897906 27.92391586 0.00000000 0.72737753 0.33799222 25
ang20190725t232343 68.93496704 -134.88279724 23.74210739 0.00682665 0.01897464 19.16145515 0.00000000 0.55475771 0.44272149 43
ang20190725t232343 68.99572754 -134.51783752 18.93147278 0.00712608 0.01936985 9.43990898 0.00000000 0.68082213 0.36559600 23
ang20190725t232343 68.97342682 -134.63975525 16.17611122 0.00632064 0.01927917 16.83422470 0.00000000 0.43502218 0.51262391 36
ang20190725t232343 69.03192139 -134.27478027 22.89991951 0.00626659 0.01975251 5.56901169 0.00000000 0.82085782 0.24419928 25
ang20190725t232343 69.00810242 -134.39640808 20.34039307 0.00731339 0.01957606 13.44935131 0.00000000 0.66471273 0.39185566 51
ang20190725t232343 68.94860077 -134.76130676 10.05628490 0.00721449 0.01931730 4.98205662 0.00000000 0.61104882 0.44404772 64
ang20190702t194452 69.60826111 -134.31188965 8.50775909 0.00825499 0.01966400 7.45027304 0.00300000 0.35627389 0.33209497 54
ang20190702t194452 69.61796570 -134.25177002 9.63441086 0.00831891 0.01971095 16.14238358 0.00000000 0.46401647 0.42502630 32
ang20190702t194452 69.59553528 -134.37191772 12.28783512 0.00768010 0.01980697 15.38779068 0.04210000 0.26176095 0.18328121 37
ang20190716t222911 62.38853836 -112.73101044 261.60253906 0.00951239 0.02186111 7.60484457 0.00000000 0.58817929 0.26068920 25
ang20190716t222911 62.44466400 -112.78932190 250.65637207 0.00947822 0.02192457 7.33041859 0.00000000 0.63940066 0.19107635 23
ang20190716t222911 62.50180435 -112.85251617 251.91885376 0.00920633 0.02209265 10.15342617 0.00000000 0.60583073 0.23014216 22
ang20190716t222911 62.55910110 -112.91011047 266.43319702 0.00940937 0.02185612 12.61799431 0.00000000 0.56545377 0.24172612 29
ang20190716t222911 62.47544479 -112.82156372 258.00427246 0.00938584 0.02171797 8.05608082 0.00000000 0.57542706 0.27568114 23
ang20190716t222911 62.53017044 -112.88127136 259.68634033 0.00933012 0.02177660 16.80534554 0.00000000 0.47244820 0.29944846 25
ang20190716t222911 62.42043304 -112.76000977 255.81433105 0.00951630 0.02196411 6.04753923 0.00000000 0.51009351 0.29773095 22
ang20190701t225819 60.82153702 -137.84274292 1481.78332520 0.00757418 0.01581404 250.74658203 0.00000000 0.50618005 0.36649346 45
ang20190701t225819 60.79498291 -137.75503540 884.21191406 0.00727390 0.01499605 109.58509064 0.00000000 0.79229641 0.13296141 23
ang20190701t225819 60.88229370 -137.99610901 883.56219482 0.00753906 0.01500819 70.64362335 0.00000000 0.61627364 0.06330197 13
ang20190701t225819 60.85589981 -137.90876770 1444.10864258 0.00723388 0.01563521 259.23629761 0.00000000 0.59948796 0.30156693 28
ang20190701t225819 60.76055527 -137.67968750 582.72943115 0.00752823 0.01459435 8.97572517 0.00000000 0.61757267 0.19381747 25
