flightline,latitude_mean,longitude_mean,elevation_mean,latitude_stdev,longitude_stdev,elevation_stdev,cloud_fraction,ndvi_mean,ndvi_stdev,dimensionality
ang20190702t194452,69.59553528,-134.3719177,12.28783512,0.0076801,0.01980697,15.38779068,0.0421,0.26176095,0.18328121,37
ang20190716t222911,62.38853836,-112.7310104,261.6025391,0.00951239,0.02186111,7.60484457,0,0.58817929,0.2606892,25
ang20190716t222911,62.444664,-112.7893219,250.6563721,0.00947822,0.02192457,7.33041859,0,0.63940066,0.19107635,23
ang20190716t222911,62.50180435,-112.8525162,251.9188538,0.00920633,0.02209265,10.15342617,0,0.60583073,0.23014216,22
ang20190716t222911,62.5591011,-112.9101105,266.433197,0.00940937,0.02185612,12.61799431,0,0.56545377,0.24172612,29
ang20190716t222911,62.47544479,-112.8215637,258.0042725,0.00938584,0.02171797,8.05608082,0,0.57542706,0.27568114,23
ang20190716t222911,62.53017044,-112.8812714,259.6863403,0.00933012,0.0217766,16.80534554,0,0.4724482,0.29944846,25
ang20190716t222911,62.42043304,-112.7600098,255.8143311,0.0095163,0.02196411,6.04753923,0,0.51009351,0.29773095,22
ang20190701t225819,60.82153702,-137.8427429,1481.783325,0.00757418,0.01581404,250.746582,0,0.50618005,0.36649346,45
ang20190701t225819,60.79498291,-137.7550354,884.2119141,0.0072739,0.01499605,109.5850906,0,0.79229641,0.13296141,23
ang20190701t225819,60.8822937,-137.996109,883.5621948,0.00753906,0.01500819,70.64362335,0,0.61627364,0.06330197,13
ang20190701t225819,60.85589981,-137.9087677,1444.108643,0.00723388,0.01563521,259.2362976,0,0.59948796,0.30156693,28
ang20190701t225819,60.76055527,-137.6796875,582.7294312,0.00752823,0.01459435,8.97572517,0,0.61757267,0.19381747,25
ang20190701t225819,60.94318771,-138.1416779,1026.366089,0.00755969,0.01630851,40.62049866,0.0253,0.48802245,0.24625784,36
ang20190701t225819,60.97643661,-138.2347107,1026.967651,0.00718054,0.01615233,43.26764297,0.233,0.31550461,0.21836437,41
ang20190701t225819,60.61152649,-137.2914581,660.9726563,0.00740829,0.01522726,38.54812241,0,0.24576972,0.57861024,25
ang20190701t225819,61.00409317,-138.3038025,957.6533814,0.00740661,0.01485801,35.58709335,0,0.60393214,0.10294826,15
ang20190701t225819,61.03664398,-138.3807068,802.1541138,0.00715509,0.01509544,21.31450272,0,0.28194267,0.37737277,23
ang20190701t225819,60.63792419,-137.3738556,895.8052979,0.00746954,0.01454461,62.77907181,0,0.65631115,0.14535195,20
ang20190701t225819,60.67287445,-137.4530029,1022.081787,0.00733843,0.01480998,43.14734268,0.0068,0.66426921,0.14245251,26
ang20190701t225819,60.916008,-138.0734406,932.8325195,0.00718874,0.01471531,72.46972656,0.2432,0.45101747,0.25727272,39
